排名,应用名称,GitHub Stars,分类,开发语言,Docker类型,移植难度,价值评分,优先级,GitHub链接,部署命令
1,Open WebUI,100k,Artificial Intelligence,,🐳 官方镜像,🟠 中等难度,40000,⚡ 高优先级,https://github.com/open-webui/open-webui?ref=selfh.st,docker run -d --name open-webui open-webui:latest
2,Hugo,82k,Blog,,🐳 官方镜像,🟠 中等难度,32800,⚡ 高优先级,https://github.com/gohugoio/hugo?ref=selfh.st,docker run -d --name hugo hugo:latest
3,Supabase,85k,Development,,🐳 官方镜像,🟠 中等难度,28333,⚡ 高优先级,https://github.com/supabase/supabase?ref=selfh.st,docker run -d --name supabase supabase:latest
4,Docusaurus,60k,Wiki,,🐳 官方镜像,🟠 中等难度,24000,⚡ 高优先级,https://github.com/facebook/docusaurus?ref=selfh.st,docker run -d --name docusaurus docusaurus:latest
5,Gatsby,56k,Blog,,🐳 官方镜像,🟠 中等难度,22400,⚡ 高优先级,https://github.com/gatsbyjs/gatsby?ref=selfh.st,docker run -d --name gatsby gatsby:latest
6,AppFlowy,64k,Note-Taking,,🐳 官方镜像,🟠 中等难度,21333,⚡ 高优先级,https://github.com/AppFlowy-IO/AppFlowy?ref=selfh.st,docker run -d --name appflowy AppFlowy:latest
7,LocalSend,63k,Local File Sharing,,🐳 官方镜像,🟠 中等难度,21000,⚡ 高优先级,https://github.com/localsend/localsend?ref=selfh.st,docker run -d --name localsend localsend:latest
8,Jekyll,50k,Blog,,🐳 官方镜像,🟠 中等难度,20000,✨ 中高优先级,https://github.com/jekyll/jekyll?ref=selfh.st,docker run -d --name jekyll jekyll:latest
9,Mastodon,48k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,19200,✨ 中高优先级,https://github.com/mastodon/mastodon?ref=selfh.st,docker run -d --name mastodon mastodon:latest
10,Traefik,55k,Reverse Proxy,,🐳 官方镜像,🟠 中等难度,18333,✨ 中高优先级,https://github.com/traefik/traefik?ref=selfh.st,docker run -d --name traefik traefik:latest
11,Pi-hole,52k,Ad Block,,🐳 官方镜像,🟠 中等难度,17333,✨ 中高优先级,https://github.com/pi-hole/pi-hole?ref=selfh.st,docker run -d --name pi-hole pi-hole:latest
12,Rclone,51k,File Transfer and Sync,,🐳 官方镜像,🟠 中等难度,17000,✨ 中高优先级,https://github.com/rclone/rclone?ref=selfh.st,docker run -d --name rclone rclone:latest
