排名,应用名称,描述,分类,GitHub Stars,开发语言,有Dockerfile,有Docker Compose,Compose复杂度,有官方镜像,移植难度,移植评分,GitHub链接,官网链接
1,Open WebUI,User-friendly and extensible AI interface,Artificial Intelligence,100k,,✓,✓,23,✓,🟠 中等难度,20.00,https://github.com/open-webui/open-webui?ref=selfh.st,https://openwebui.com/?ref=selfh.st
2,Hugo,Fast and flexible static site generator built with love,Blog,82k,,✓,✗,0,✓,🟠 中等难度,16.40,https://github.com/gohugoio/hugo?ref=selfh.st,https://gohugo.io/?ref=selfh.st
3,Supabase,Open-source based platform for backend development solutions,Development,85k,,✗,✗,0,✓,🟠 中等难度,14.17,https://github.com/supabase/supabase?ref=selfh.st,https://supabase.com/?ref=selfh.st
4,Docusaurus,Easy to maintain open-source documentation websites,Wiki,60k,,✗,✗,0,✓,🟠 中等难度,12.00,https://github.com/facebook/docusaurus?ref=selfh.st,https://docusaurus.io/?ref=selfh.st
5,Gatsby,Framework for building blazing fast websites and apps,Blog,56k,,✗,✗,0,✓,🟠 中等难度,11.20,https://github.com/gatsbyjs/gatsby?ref=selfh.st,https://www.gatsbyjs.com/?ref=selfh.st
6,AppFlowy,AI-powered secure workspace for wikis and projects,Note-Taking,64k,,✗,✗,0,✓,🟠 中等难度,10.67,https://github.com/AppFlowy-IO/AppFlowy?ref=selfh.st,https://appflowy.com/?ref=selfh.st
7,LocalSend,Cross-platform local network file sharing,Local File Sharing,63k,,✗,✗,0,✓,🟠 中等难度,10.50,https://github.com/localsend/localsend?ref=selfh.st,https://localsend.org/?ref=selfh.st
8,Jekyll,"Simple, blog-aware static site generator",Blog,50k,,✗,✗,0,✓,🟠 中等难度,10.00,https://github.com/jekyll/jekyll?ref=selfh.st,https://jekyllrb.com/?ref=selfh.st
9,Mastodon,Social network server where users can follow friends and discover new ones,ActivityPub / Fediverse,48k,,✓,✓,58,✓,🟠 中等难度,9.60,https://github.com/mastodon/mastodon?ref=selfh.st,https://joinmastodon.org/?ref=selfh.st
10,Traefik,Cloud native application proxy,Reverse Proxy,55k,,✓,✗,0,✓,🟠 中等难度,9.17,https://github.com/traefik/traefik?ref=selfh.st,https://traefik.io/?ref=selfh.st
11,Pi-hole,Black hole for internet advertisements,Ad Block,52k,,✗,✗,0,✓,🟠 中等难度,8.67,https://github.com/pi-hole/pi-hole?ref=selfh.st,https://pi-hole.net/?ref=selfh.st
12,Rclone,File and directory sync with various cloud storage providers,File Transfer and Sync,51k,,✓,✗,0,✓,🟠 中等难度,8.50,https://github.com/rclone/rclone?ref=selfh.st,https://rclone.org/?ref=selfh.st
13,Joplin,Secure note-taking and to-do app with synchronization capabilities,Note-Taking,50k,,✗,✗,0,✓,🟠 中等难度,8.33,https://github.com/laurent22/joplin?ref=selfh.st,https://joplinapp.org/?ref=selfh.st
14,Discourse,Online home for communities,Forums,44k,,✗,✗,0,✓,🟠 中等难度,7.33,https://github.com/discourse/discourse?ref=selfh.st,https://www.discourse.org/?ref=selfh.st
15,Rocket.Chat,Fully customizable communications platform with high standards of data protection,Messaging,43k,,✗,✗,0,✓,🟠 中等难度,7.17,https://github.com/RocketChat/Rocket.Chat?ref=selfh.st,https://rocket.chat/?ref=selfh.st
16,Coolify,Software deployment and management platform,Deployment,43k,,✗,✗,0,✓,🟠 中等难度,7.17,https://github.com/coollabsio/coolify?ref=selfh.st,https://coolify.io/?ref=selfh.st
17,Sentry,Developer-first error tracking and performance monitoring,Development,41k,,✗,✗,0,✓,🟠 中等难度,6.83,https://github.com/getsentry/sentry?ref=selfh.st,https://sentry.io/?ref=selfh.st
18,Appsmith,"Platform for building admin panels, internal tools, and dashboards",No-Code / Low-Code,37k,,✗,✗,0,✓,🟠 中等难度,6.17,https://github.com/appsmithorg/appsmith?ref=selfh.st,https://www.appsmith.com/?ref=selfh.st
